filename,gt_chars,whisper_cer,google_cer,whisper_wer,google_wer,whisper_acc,google_acc,complementary,whisper_text,google_text,gt,whisper_error,google_error
UltraLog06020260321154438.wav,24,1.0,1.0,1.0,0.7333,0.0,0.0,both_wrong,"好,先叫區九市副站長至區十二攝影站長麻煩至列牌,列牌待命,列牌待命。","好,就叫99站站站站站","好,就叫99組站長,99組站長,麻煩組業培,業培站一下班。",,
UltraLog06020260321154456.wav,5,1.0,1.0,1.0,1.0,0.0,0.0,both_wrong,König glorifies his造型.,謝謝謝謝大家回到2,謝謝謝謝謝,,
UltraLog06020260321154513.wav,24,0.5833,0.3333,0.3846,0.5385,0.4167,0.6667,both_wrong,"軍時全站回報,GC,目前二月台動兩車停置於站前。",巡視選站回報警警目前2月台東兩車停置於站前 over.,"清石站回報 GC,目前二月台東兩車停滯於站前, over.",,
UltraLog06020260321154613.wav,131,0.5725,0.3053,0.6296,0.3086,0.4275,0.6947,both_wrong,"19,師傅站長回報OCC有,好,信課到請收到目前一月台列車位於單行軌處OVER可以確認稍早發話的內容嗎?師傅站長回報OCC,一月台列車停止於站間,約在單行軌處OVER好,信課到,那行車站在斜坡處理中,請先進一月台,一月台站你好不好?師傅站長收到,日月台站你OVER","是否站長回答 OCC?有沒有站長回答 OCC?目前一月台列車位於待行軌處 over。站長請站長播放內容吧。是否站長回報 OCC,一月台列車停置於站間約在待行軌處 over。我已收到那情況正在協助處理當中,那協助人請先至一月台一月台站內吧。是否站長收到?一月台待命位。",是否站長回答 OCC?有沒有聽到站長回答 OCC?目前一月台列車位於待行軌處 over。站別你聽到站長播放話內容了嗎?是否站長回答 OCC?一月台列車停置於站間約在待行軌處 over。好我已經收到那請站長跟協助處理就好那協助人員請先至一月台一月台站別了吧。是否站長收到?一月台站別 over。,,
UltraLog06020260321154657.wav,37,1.0,0.7838,1.0,0.8571,0.0,0.2162,both_wrong,"好,現在,駐紫禾鎮站長對駐紫禾攝影站長麻煩將無線電停到台灣駐紫禾攝影站有音。與其他攝影站同時再交換。","好,現在9兆升降機進場升降機,麻煩將你現在頻道呢,請換到備用頻道51。你現在換到頻道91吧。","好,請現在局長站長是警察站長,麻煩將你現在頻道調到備用頻道91以確保通訊暢通吧。",,
UltraLog06020260321154928.wav,32,0.6562,1.0,0.6111,1.0,0.3438,0.0,both_wrong,"G0轉站回BC1,2台列車車主要拐18到站後開門,立刻關門。",0010101010100010101010100010101010100010101010100010101010100010101010100010101010100010101010100010,"洞洞0,轉站回 CC1站2站列車車組1洞八到站後開門立刻關門, over.",,
UltraLog06020260321155302.wav,14,1.0,0.8571,0.7273,0.5455,0.0,0.1429,both_wrong,"181,我站火刀21,列車位離站,好嗎?",18英文站活到7咧特位咧站喔吧。,你幫我找到7咧特位咧站好不然,,
UltraLog06020260321155711.wav,64,0.8438,0.5469,0.9167,0.5556,0.1562,0.4531,both_wrong,"GC高鐵站長呼叫OCC,2月台2324車清車完畢列車可以出發,OK?好,消防好,隊長,GC高鐵站長呼叫,車主2324清車完畢列車可以出發,OK?","繼續告站長物件 OC3,2月台邊站台還是清楚完畢,待命等車被出發尾。趕快趕快趕快趕快,繼續告站長回報,車組23輛車清楚完畢,那可發車趕快趕快。",繼續告站長誤叫 OC 二月台23號車進站避讓23號車避出房邊。趕快趕快趕快趕快趕快繼續告站長回報車主23號車進站避讓可發車趕快趕快趕快,,
UltraLog06020260321155903.wav,23,0.8696,0.5217,0.8571,0.6429,0.1304,0.4783,both_wrong,710北屯鎮海報471月台3132車請抽完B over,去臨桂仁站海報171月台3136車請出站 B 站泊。,區領導們在海報7一月台31號32車請離站 B 站泊。,,
UltraLog06020260321155930.wav,105,1.0,0.5238,0.95,0.6,0.0,0.4762,both_wrong,"G54的站長,OberG54的站長收到,OBC請說稍後進站列車車主車主要拐18,請人員執行清車清搜回報,稍後這台車將折返至1月台載客,OberG54的站長收到,稍後2月台進站列車要拐18,進行清車清搜完畢後,跟你回報,Ober正確的,感謝OberG54的站長收到,OberG54的站長收到,OberG54的站長收到,Ober","952952站站長歐趴。952站站長收到歐犀請說。待稍待站列車車組車組要拐搖吧,那請人員執行清車清車回報,那稍待列車將德返至一月台載客歐趴。952站站長收到稍後二月台進站列車要拐搖吧,進行清車清車完畢後跟你回報歐趴。站站站感謝喔。站",955次列車站站辦955次列車站收到 OC 請說站站停準列車車組車組搖擺搖擺那請人員執行清車清障回報那稍後在二月台載客 OC 955次列車站收到稍後二月台進站列車搖擺搖擺進行清車清車完畢後跟你回報 OC 站站就感謝喔955,,
